title,category,date,estimated_minutes,status
Tittel 1,Kategori 1,2026-09-01,45,completed
Tittel 2,Kategori 1,2026-09-23,60,completed
Tittel 3,Kategori 2,2026-09-26,60,planned
Tittel 4,Kategori 2,2026-09-21,58,planned
Tittel 5,Kategori 3,2026-09-29,30,planned
Tittel 5,Kategori 3,2026-09-30,90,planned
Tittel 5,Kategori 3,2026-09-13,45,planned
Tittel 7,Kategori 4,2026-07-30,90,planned
Tittel 8,Kategori 4,2025-09-30,90,completed
Tittel 8,Kategori 4,2024-01-28,90,completed
Tittel 9,Kategori 5,2023-01-01,90,planned
